,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
LOC100132526,0,1.233478273,0,0,0,0,1.233478273,0,0,1.190342063,0,0,1.473135495
LOC100132529,1.465533946,0,0,0,0,0,0,0,1.492086009,1.339510708,0,0,0
LOC100132593,0,-1.384660112,0,0,0,0,0,0,0,0,0,0,0
LOC100132612,0,1.055813171,0,0,0,0,0,0,0,0,0,0,0
LOC100132686,0,-1.211388795,0,0,0,0,-1.211388795,0,0,1.104021519,0,0,-1.100479944
LOC100132707,1.20167857,0,0,0,0,0,0,0,0,0,0,0,-1.391938388
LOC100132724,-1.272857636,0,0,0,0,0,0,0,-1.463900265,0,0,0,0
LOC100132731,0,-1.169327519,0,0,0,0,-1.169327519,0,0,0,0,0,0
LOC100132741,0,0,1.095718322,0,0,0,0,1.095718322,0,1.201260309,0,0,-1.570806889
LOC100132764,0,-1.068801344,0,0,0,0,-1.068801344,0,0,0,0,0,-1.256771852
LOC100132774,0,1.860741995,1.339057493,0,0,0,1.860741995,1.339057493,1.236412955,1.441903785,0,0,1.43410954
LOC100132781,0,0,0,0,0,0,0,0,0,-1.158362986,0,0,0
LOC100132790,1.30170145,-1.665700222,0,0,0,0,-1.665700222,0,0,0,0,0,-1.424316605
LOC100132800,0,0,0,0,0,0,0,0,1.212756736,1.202108624,0,0,0
LOC100132831,-1.74908276,2.442312182,1.643783481,0,0,0,2.442312182,1.643783481,0,0,0,0,1.568372062
LOC100132832,1.244547635,-1.479771054,0,0,0,0,-1.479771054,0,1.406639211,1.193029446,0,0,-1.587250318
LOC100132850,0,-1.550147901,0,0,0,0,-1.550147901,0,0,0,0,0,1.692599044
LOC100132859,0,1.847585705,0,0,0,0,1.847585705,0,0,0,0,0,2.033655173
LOC100132874,-1.981336937,-1.757643894,0,0,0,0,0,-1.460431372,0,0,0,0,-2.029306253
LOC100132891,0,1.12266,0,0,0,0,1.12266,0,0,0,0,0,1.110117298
LOC100132966,0,-1.727704918,0,0,0,0,-1.727704918,-1.325982387,-1.323370082,-1.506274191,0,0,-1.415074624
LOC100132987,0,0,0,0,0,0,0,0,0,0,0,0,-1.087239722
LOC100133039,0,-1.303795079,0,0,0,0,-1.303795079,0,1.198740962,1.175465736,0,0,-1.522187682
LOC100133050,0,-1.934351717,0,0,0,0,-1.934351717,0,1.503625068,0,0,0,-1.738480235
LOC100133089,-1.345376538,0,0,0,0,0,0,0,-1.267007074,0,0,0,-1.501265163
LOC100133091,0,-1.845574997,0,0,0,0,0,-1.841440851,0,0,0,0,-2.548341468
LOC100133106,0,1.316308532,0,0,0,0,1.316308532,0,0,0,0,0,1.58592817
